X , Y, error , micros , speed
0.04 , 0.04 , -811 , 35643920 , 0.05
0.04 , 0.04 , -813 , 35669736 , 0.00
0.04 , 0.04 , -713 , 35695592 , 0.06
0.04 , 0.04 , -642 , 35721564 , 0.06
0.05 , 0.04 , -535 , 35747576 , 0.09
0.05 , 0.04 , -340 , 35773624 , 0.10
0.05 , 0.04 , -191 , 35799748 , 0.13
0.05 , 0.03 , -131 , 35825924 , 0.18
0.06 , 0.03 , -47 , 35852136 , 0.20
0.06 , 0.03 , 88 , 35878336 , 0.23
0.07 , 0.02 , 169 , 35904552 , 0.26
0.07 , 0.02 , 247 , 35930772 , 0.24
0.08 , 0.01 , 234 , 35957016 , 0.24
0.08 , 0.01 , 190 , 35983276 , 0.24
0.09 , 0.00 , 183 , 36009548 , 0.25
0.09 , -0.00 , 255 , 36035732 , 0.27
0.10 , -0.00 , 278 , 36062004 , 0.26
0.10 , -0.01 , 249 , 36088244 , 0.24
0.11 , -0.01 , 185 , 36114496 , 0.25
0.11 , -0.02 , 178 , 36140820 , 0.26
0.12 , -0.02 , 207 , 36167052 , 0.28
0.12 , -0.03 , 176 , 36193312 , 0.27
0.13 , -0.03 , 142 , 36219640 , 0.27
0.13 , -0.04 , 79 , 36245952 , 0.28
0.14 , -0.04 , 99 , 36272256 , 0.29
0.14 , -0.05 , 64 , 36298492 , 0.30
0.15 , -0.06 , 45 , 36324812 , 0.29
0.15 , -0.06 , 5 , 36351096 , 0.31
0.16 , -0.07 , 15 , 36377380 , 0.32
0.17 , -0.07 , 2 , 36403716 , 0.33
0.17 , -0.08 , -18 , 36429992 , 0.34
0.18 , -0.09 , -35 , 36456344 , 0.35
0.18 , -0.09 , -42 , 36482712 , 0.35
0.19 , -0.10 , -14 , 36509072 , 0.35
0.20 , -0.11 , -32 , 36535424 , 0.35
0.20 , -0.11 , -41 , 36561744 , 0.34
0.21 , -0.12 , -38 , 36588124 , 0.35
0.22 , -0.13 , -7 , 36614484 , 0.34
0.22 , -0.13 , -62 , 36640796 , 0.34
0.23 , -0.14 , -87 , 36667100 , 0.34
0.24 , -0.15 , -88 , 36693448 , 0.33
0.24 , -0.15 , -43 , 36719788 , 0.34
0.25 , -0.16 , -21 , 36746116 , 0.34
0.25 , -0.16 , -42 , 36772488 , 0.33
0.26 , -0.17 , -89 , 36798836 , 0.35
0.27 , -0.18 , -66 , 36825172 , 0.34
0.27 , -0.18 , -41 , 36851532 , 0.33
0.28 , -0.19 , -24 , 36877876 , 0.34
0.29 , -0.20 , -68 , 36904236 , 0.34
0.29 , -0.20 , -110 , 36930576 , 0.34
0.30 , -0.21 , -107 , 36956924 , 0.34
0.31 , -0.21 , -67 , 36983292 , 0.32
0.31 , -0.22 , -90 , 37009632 , 0.32
0.32 , -0.22 , -112 , 37035984 , 0.34
0.33 , -0.23 , -91 , 37062364 , 0.32
0.33 , -0.24 , -109 , 37088712 , 0.33
0.34 , -0.24 , -137 , 37115044 , 0.34
0.35 , -0.25 , -159 , 37141396 , 0.33
0.35 , -0.25 , -130 , 37167760 , 0.32
0.36 , -0.26 , -88 , 37194124 , 0.32
0.37 , -0.26 , -115 , 37220488 , 0.33
0.37 , -0.27 , -135 , 37246912 , 0.32
0.38 , -0.27 , -136 , 37273244 , 0.32
0.39 , -0.28 , -89 , 37299636 , 0.31
0.39 , -0.28 , -70 , 37325988 , 0.31
0.40 , -0.29 , -68 , 37352312 , 0.32
0.41 , -0.29 , -113 , 37378656 , 0.32
0.41 , -0.30 , -88 , 37405016 , 0.34
0.42 , -0.30 , -92 , 37431360 , 0.32
0.43 , -0.31 , -66 , 37457716 , 0.34
0.43 , -0.31 , -109 , 37484072 , 0.34
0.44 , -0.32 , -157 , 37510480 , 0.35
0.45 , -0.32 , -159 , 37536864 , 0.33
0.46 , -0.33 , -196 , 37563228 , 0.31
0.46 , -0.33 , -253 , 37589556 , 0.32
0.47 , -0.34 , -291 , 37615900 , 0.29
0.48 , -0.34 , -271 , 37642228 , 0.27
0.48 , -0.34 , -236 , 37668552 , 0.26
0.49 , -0.35 , -182 , 37694876 , 0.26
0.49 , -0.35 , -151 , 37721236 , 0.26
0.50 , -0.35 , -194 , 37747596 , 0.29
0.51 , -0.36 , -236 , 37773868 , 0.28
0.51 , -0.36 , -231 , 37800208 , 0.28
0.52 , -0.36 , -199 , 37826524 , 0.28
0.53 , -0.37 , -153 , 37852860 , 0.28
0.53 , -0.37 , -155 , 37879220 , 0.30
0.54 , -0.37 , -200 , 37905560 , 0.29
0.55 , -0.38 , -195 , 37931884 , 0.29
0.56 , -0.38 , -175 , 37958220 , 0.29
0.56 , -0.38 , -113 , 37984624 , 0.29
0.57 , -0.39 , -152 , 38010976 , 0.29
0.58 , -0.39 , -200 , 38037284 , 0.30
0.58 , -0.39 , -221 , 38063652 , 0.29
0.59 , -0.39 , -239 , 38090020 , 0.28
0.60 , -0.40 , -130 , 38116308 , 0.28
0.60 , -0.40 , -119 , 38142616 , 0.27
0.61 , -0.40 , -259 , 38168980 , 0.29
0.62 , -0.40 , -331 , 38195208 , 0.30
0.63 , -0.40 , -273 , 38221464 , 0.25
0.63 , -0.41 , -196 , 38247780 , 0.23
0.64 , -0.41 , -110 , 38274056 , 0.27
0.65 , -0.41 , -150 , 38300372 , 0.26
0.65 , -0.41 , -239 , 38326692 , 0.27
0.66 , -0.41 , -234 , 38352992 , 0.27
0.67 , -0.41 , -191 , 38379272 , 0.25
0.67 , -0.41 , -89 , 38405580 , 0.26
0.68 , -0.42 , -90 , 38431880 , 0.28
0.69 , -0.42 , -153 , 38458236 , 0.28
0.69 , -0.42 , -199 , 38484612 , 0.28
0.70 , -0.42 , -190 , 38510944 , 0.28
0.71 , -0.42 , -174 , 38537200 , 0.27
0.72 , -0.42 , -220 , 38563544 , 0.28
0.72 , -0.42 , -231 , 38589900 , 0.29
0.73 , -0.42 , -275 , 38616240 , 0.27
0.74 , -0.42 , -307 , 38642560 , 0.26
0.74 , -0.42 , -365 , 38668864 , 0.26
0.75 , -0.42 , -311 , 38695120 , 0.25
0.76 , -0.42 , -318 , 38721392 , 0.21
0.76 , -0.42 , -374 , 38747668 , 0.23
0.77 , -0.42 , -399 , 38773900 , 0.22
0.77 , -0.42 , -385 , 38800144 , 0.20
0.78 , -0.42 , -370 , 38826344 , 0.21
0.78 , -0.42 , -370 , 38852560 , 0.19
0.79 , -0.42 , -356 , 38878800 , 0.19
0.79 , -0.42 , -375 , 38905020 , 0.21
0.80 , -0.42 , -347 , 38931248 , 0.21
0.81 , -0.42 , -337 , 38957476 , 0.20
0.81 , -0.42 , -293 , 38983720 , 0.22
0.82 , -0.41 , -280 , 39009980 , 0.21
0.82 , -0.41 , -241 , 39036248 , 0.23
0.83 , -0.41 , -219 , 39062528 , 0.22
0.83 , -0.41 , -214 , 39088832 , 0.25
0.84 , -0.41 , -217 , 39115148 , 0.25
0.85 , -0.40 , -194 , 39141472 , 0.25
0.85 , -0.40 , -154 , 39167808 , 0.26
0.86 , -0.40 , -173 , 39194156 , 0.26
0.87 , -0.40 , -195 , 39220508 , 0.28
0.87 , -0.40 , -178 , 39246868 , 0.28
0.88 , -0.39 , -171 , 39273192 , 0.28
0.89 , -0.39 , -175 , 39299516 , 0.29
0.89 , -0.39 , -197 , 39325880 , 0.30
0.90 , -0.38 , -211 , 39352212 , 0.29
0.91 , -0.38 , -251 , 39378572 , 0.28
0.92 , -0.38 , -267 , 39404928 , 0.28
0.92 , -0.38 , -222 , 39431164 , 0.27
0.93 , -0.37 , -219 , 39457500 , 0.26
0.93 , -0.37 , -225 , 39483860 , 0.27
0.94 , -0.37 , -288 , 39510196 , 0.27
0.95 , -0.36 , -314 , 39536492 , 0.26
0.95 , -0.36 , -508 , 39562772 , 0.23
0.96 , -0.36 , -530 , 39589016 , 0.22
0.96 , -0.35 , -473 , 39615244 , 0.21
0.97 , -0.35 , -480 , 39641436 , 0.19
0.97 , -0.35 , -396 , 39667600 , 0.19
0.97 , -0.35 , -389 , 39693836 , 0.18
0.98 , -0.34 , -339 , 39720052 , 0.21
0.98 , -0.34 , -349 , 39746252 , 0.19
0.99 , -0.34 , -367 , 39772500 , 0.21
0.99 , -0.33 , -356 , 39798732 , 0.22
1.00 , -0.33 , -280 , 39824972 , 0.21
1.00 , -0.33 , -264 , 39851268 , 0.21
1.00 , -0.32 , -282 , 39877556 , 0.24
1.01 , -0.32 , -283 , 39903828 , 0.23
1.01 , -0.31 , -263 , 39930124 , 0.22
1.02 , -0.31 , -239 , 39956412 , 0.24
1.02 , -0.30 , -232 , 39982736 , 0.24
1.02 , -0.30 , -223 , 40009052 , 0.25
1.03 , -0.29 , -217 , 40035312 , 0.26
1.03 , -0.29 , -237 , 40061648 , 0.26
1.04 , -0.28 , -220 , 40087972 , 0.27
1.04 , -0.28 , -201 , 40114272 , 0.26
1.05 , -0.27 , -201 , 40140636 , 0.28
1.05 , -0.26 , -216 , 40166948 , 0.28
1.05 , -0.26 , -276 , 40193284 , 0.28
1.06 , -0.25 , -301 , 40219560 , 0.27
1.06 , -0.25 , -308 , 40245880 , 0.25
1.07 , -0.24 , -279 , 40272168 , 0.25
1.07 , -0.24 , -281 , 40298456 , 0.24
1.07 , -0.23 , -299 , 40324756 , 0.24
1.08 , -0.23 , -294 , 40351044 , 0.24
1.08 , -0.22 , -364 , 40377312 , 0.24
1.08 , -0.22 , -357 , 40403544 , 0.23
1.09 , -0.21 , -349 , 40429796 , 0.21
1.09 , -0.21 , -272 , 40456040 , 0.22
1.09 , -0.20 , -280 , 40482320 , 0.21
1.09 , -0.19 , -342 , 40508580 , 0.24
1.10 , -0.19 , -389 , 40534816 , 0.24
1.10 , -0.18 , -344 , 40561064 , 0.21
1.10 , -0.18 , -220 , 40587332 , 0.21
1.10 , -0.17 , -174 , 40613600 , 0.23
1.10 , -0.17 , -177 , 40639896 , 0.24
1.11 , -0.16 , -222 , 40666188 , 0.25
1.11 , -0.15 , -232 , 40692504 , 0.26
1.11 , -0.15 , -244 , 40718812 , 0.25
1.11 , -0.14 , -182 , 40745164 , 0.25
1.11 , -0.13 , -152 , 40771508 , 0.26
1.12 , -0.13 , -178 , 40797832 , 0.28
1.12 , -0.12 , -240 , 40824196 , 0.28
1.12 , -0.11 , -200 , 40850528 , 0.28
1.12 , -0.11 , -224 , 40876868 , 0.26
1.12 , -0.10 , -224 , 40903224 , 0.29
1.12 , -0.09 , -277 , 40929580 , 0.28
1.13 , -0.08 , -326 , 40955876 , 0.28
1.13 , -0.08 , -256 , 40982148 , 0.25
1.13 , -0.07 , -358 , 41008484 , 0.24
1.13 , -0.06 , -526 , 41034740 , 0.27
1.13 , -0.06 , -550 , 41060960 , 0.21
1.13 , -0.05 , -545 , 41087184 , 0.19
1.13 , -0.05 , -466 , 41113336 , 0.19
1.13 , -0.05 , -363 , 41139528 , 0.16
1.13 , -0.04 , -364 , 41165732 , 0.18
1.13 , -0.04 , -342 , 41191916 , 0.18
1.13 , -0.03 , -351 , 41218116 , 0.18
1.13 , -0.03 , -442 , 41244352 , 0.18
1.13 , -0.02 , -508 , 41270576 , 0.20
1.13 , -0.02 , -535 , 41296760 , 0.19
1.13 , -0.01 , -458 , 41322944 , 0.18
1.12 , -0.01 , -400 , 41349112 , 0.17
1.12 , -0.00 , -384 , 41375328 , 0.18
1.12 , 0.00 , -351 , 41401540 , 0.20
1.12 , 0.01 , -353 , 41427712 , 0.19
1.12 , 0.01 , -313 , 41453932 , 0.20
1.12 , 0.02 , -279 , 41480180 , 0.21
1.11 , 0.02 , -271 , 41506444 , 0.23
1.11 , 0.03 , -305 , 41532688 , 0.23
1.11 , 0.03 , -342 , 41558940 , 0.23
1.11 , 0.04 , -319 , 41585196 , 0.22
1.10 , 0.04 , -267 , 41611456 , 0.22
1.10 , 0.05 , -246 , 41637716 , 0.22
1.10 , 0.06 , -299 , 41663988 , 0.24
1.10 , 0.06 , -317 , 41690236 , 0.25
1.09 , 0.07 , -278 , 41716488 , 0.22
1.09 , 0.07 , -191 , 41742736 , 0.23
1.09 , 0.08 , -175 , 41769012 , 0.25
1.08 , 0.08 , -170 , 41795268 , 0.27
1.08 , 0.09 , -173 , 41821592 , 0.26
1.07 , 0.09 , -175 , 41847888 , 0.28
1.07 , 0.10 , -151 , 41874216 , 0.28
1.07 , 0.11 , -136 , 41900556 , 0.28
1.06 , 0.11 , -172 , 41926872 , 0.29
1.06 , 0.12 , -219 , 41953224 , 0.29
1.05 , 0.13 , -180 , 41979500 , 0.29
1.05 , 0.13 , -135 , 42005816 , 0.27
1.04 , 0.14 , -112 , 42032152 , 0.29
1.04 , 0.14 , -132 , 42058432 , 0.31
1.03 , 0.15 , -151 , 42084800 , 0.31
1.03 , 0.16 , -140 , 42111140 , 0.31
1.02 , 0.16 , -89 , 42137472 , 0.31
1.02 , 0.17 , -70 , 42163844 , 0.31
1.01 , 0.18 , -66 , 42190152 , 0.34
1.01 , 0.18 , -90 , 42216480 , 0.32
1.00 , 0.19 , -70 , 42242872 , 0.33
1.00 , 0.20 , -55 , 42269220 , 0.33
0.99 , 0.20 , -48 , 42295536 , 0.32
0.99 , 0.21 , -29 , 42321840 , 0.33
0.98 , 0.22 , -20 , 42348180 , 0.33
0.97 , 0.22 , 11 , 42374500 , 0.34
0.97 , 0.23 , -10 , 42400828 , 0.35
0.96 , 0.24 , 15 , 42427164 , 0.34
0.96 , 0.24 , 76 , 42453488 , 0.35
0.95 , 0.25 , 51 , 42479784 , 0.35
0.94 , 0.26 , 58 , 42506092 , 0.33
0.94 , 0.27 , 109 , 42532420 , 0.34
0.93 , 0.27 , 156 , 42558816 , 0.34
0.93 , 0.28 , 166 , 42585188 , 0.32
0.92 , 0.29 , 97 , 42611548 , 0.30
0.92 , 0.29 , 76 , 42637816 , 0.30
0.91 , 0.30 , 148 , 42664096 , 0.32
0.91 , 0.30 , 156 , 42690400 , 0.31
0.90 , 0.31 , 141 , 42716744 , 0.29
0.90 , 0.32 , 85 , 42743136 , 0.29
0.89 , 0.32 , 74 , 42769420 , 0.32
0.89 , 0.33 , 164 , 42795736 , 0.32
0.88 , 0.34 , 147 , 42822072 , 0.31
0.88 , 0.34 , 129 , 42848416 , 0.30
0.87 , 0.35 , 116 , 42874760 , 0.31
0.87 , 0.36 , 100 , 42901060 , 0.33
0.86 , 0.36 , 94 , 42927480 , 0.30
0.86 , 0.37 , 125 , 42953772 , 0.32
0.85 , 0.38 , 97 , 42980144 , 0.31
0.85 , 0.38 , 73 , 43006464 , 0.31
0.84 , 0.39 , 94 , 43032744 , 0.31
0.84 , 0.40 , 89 , 43059012 , 0.32
0.84 , 0.40 , 90 , 43085328 , 0.31
0.83 , 0.41 , 97 , 43111648 , 0.32
0.83 , 0.42 , 82 , 43137992 , 0.32
0.82 , 0.42 , 53 , 43164320 , 0.31
0.82 , 0.43 , 113 , 43190660 , 0.33
0.81 , 0.44 , 150 , 43217016 , 0.34
0.81 , 0.44 , 137 , 43243396 , 0.31
0.80 , 0.45 , 78 , 43269800 , 0.31
0.80 , 0.46 , 95 , 43296072 , 0.31
0.79 , 0.46 , 172 , 43322356 , 0.31
0.79 , 0.47 , 159 , 43348712 , 0.30
0.78 , 0.48 , 131 , 43375056 , 0.28
0.78 , 0.48 , 100 , 43401392 , 0.29
0.78 , 0.49 , 129 , 43427672 , 0.31
0.77 , 0.50 , 148 , 43454012 , 0.30
0.77 , 0.50 , 170 , 43480352 , 0.30
0.76 , 0.51 , 164 , 43506660 , 0.30
0.76 , 0.52 , 120 , 43532952 , 0.30
0.75 , 0.52 , 129 , 43559284 , 0.30
0.75 , 0.53 , 169 , 43585672 , 0.32
0.75 , 0.54 , 145 , 43611984 , 0.31
0.74 , 0.54 , 119 , 43638284 , 0.29
0.74 , 0.55 , 90 , 43664644 , 0.30
0.73 , 0.56 , 98 , 43690980 , 0.31
0.73 , 0.56 , 54 , 43717248 , 0.31
0.73 , 0.57 , 9 , 43743544 , 0.31
0.72 , 0.58 , 12 , 43769872 , 0.32
0.72 , 0.59 , -35 , 43796164 , 0.32
0.71 , 0.59 , -74 , 43822556 , 0.32
0.71 , 0.60 , -93 , 43848900 , 0.33
0.70 , 0.61 , -135 , 43875232 , 0.33
0.70 , 0.62 , -172 , 43901604 , 0.32
0.69 , 0.62 , -193 , 43927984 , 0.31
0.69 , 0.63 , -216 , 43954324 , 0.29
0.69 , 0.63 , -230 , 43980692 , 0.29
0.68 , 0.64 , -249 , 44007016 , 0.29
0.68 , 0.65 , -270 , 44033328 , 0.28
0.67 , 0.65 , -278 , 44059636 , 0.26
0.67 , 0.66 , -275 , 44085928 , 0.25
0.66 , 0.66 , -297 , 44112232 , 0.24
0.66 , 0.67 , -294 , 44138508 , 0.25
0.66 , 0.67 , -283 , 44164768 , 0.24
0.65 , 0.68 , -291 , 44191056 , 0.24
0.65 , 0.68 , -290 , 44217332 , 0.25
0.64 , 0.69 , -294 , 44243648 , 0.24
0.64 , 0.69 , -283 , 44269940 , 0.25
0.63 , 0.70 , -270 , 44296240 , 0.24
0.63 , 0.70 , -289 , 44322556 , 0.25
0.63 , 0.70 , -276 , 44348856 , 0.25
0.62 , 0.71 , -286 , 44375116 , 0.24
0.62 , 0.71 , -262 , 44401412 , 0.25
0.61 , 0.72 , -253 , 44427716 , 0.24
0.61 , 0.72 , -282 , 44454008 , 0.25
0.60 , 0.73 , -313 , 44480300 , 0.25
0.60 , 0.73 , -298 , 44506568 , 0.24
0.59 , 0.73 , -287 , 44532828 , 0.23
0.59 , 0.74 , -236 , 44559092 , 0.24
0.58 , 0.74 , -209 , 44585384 , 0.24
0.58 , 0.74 , -242 , 44611700 , 0.25
0.57 , 0.75 , -264 , 44638000 , 0.26
0.56 , 0.75 , -283 , 44664288 , 0.25
0.56 , 0.76 , -269 , 44690596 , 0.24
0.55 , 0.76 , -235 , 44716888 , 0.25
0.55 , 0.76 , -237 , 44743204 , 0.25
0.54 , 0.77 , -252 , 44769536 , 0.26
0.54 , 0.77 , -290 , 44795820 , 0.26
0.53 , 0.77 , -292 , 44822092 , 0.25
0.53 , 0.78 , -268 , 44848380 , 0.24
0.52 , 0.78 , -222 , 44874648 , 0.25
0.51 , 0.78 , -234 , 44900940 , 0.24
0.51 , 0.79 , -253 , 44927188 , 0.26
0.50 , 0.79 , -253 , 44953468 , 0.25
0.50 , 0.79 , -268 , 44979740 , 0.24
0.49 , 0.79 , -233 , 45006036 , 0.25
0.48 , 0.80 , -192 , 45032304 , 0.25
0.48 , 0.80 , -193 , 45058628 , 0.26
0.47 , 0.80 , -212 , 45084948 , 0.28
0.46 , 0.80 , -249 , 45111256 , 0.27
0.46 , 0.81 , -238 , 45137568 , 0.27
0.45 , 0.81 , -229 , 45163904 , 0.26
0.44 , 0.81 , -283 , 45190212 , 0.27
0.44 , 0.81 , -286 , 45216492 , 0.27
0.43 , 0.82 , -250 , 45242800 , 0.25
0.43 , 0.82 , -268 , 45269100 , 0.25
0.42 , 0.82 , -245 , 45295388 , 0.26
0.41 , 0.82 , -283 , 45321684 , 0.25
0.41 , 0.82 , -309 , 45347972 , 0.25
0.40 , 0.82 , -288 , 45374252 , 0.25
0.39 , 0.83 , -258 , 45400508 , 0.24
0.39 , 0.83 , -214 , 45426808 , 0.25
