X	Y	error	micros	speed
0.04	0.04	-35	22778948	0.05
0.04	0.04	-62	22804776	0
0.04	0.04	151	22830680	0.07
0.05	0.04	209	22856700	0.1
0.05	0.04	95	22882812	0.08
0.05	0.04	4	22908972	0.14
0.05	0.03	89	22935088	0.19
0.06	0.03	113	22961252	0.17
0.06	0.03	49	22987520	0.18
0.06	0.02	44	23013736	0.22
0.07	0.02	57	23039964	0.23
0.07	0.01	51	23066200	0.23
0.08	0.01	64	23092472	0.25
0.08	0	38	23118704	0.26
0.09	0	28	23145000	0.26
0.09	-0.01	28	23171300	0.27
0.1	-0.01	55	23197600	0.27
0.1	-0.02	33	23223920	0.28
0.11	-0.02	8	23250248	0.28
0.11	-0.03	56	23276524	0.29
0.12	-0.03	86	23302852	0.29
0.12	-0.04	19	23329176	0.28
0.13	-0.04	19	23355484	0.28
0.13	-0.05	-16	23381788	0.27
0.14	-0.05	-10	23408136	0.28
0.14	-0.06	8	23434464	0.29
0.15	-0.06	-59	23460748	0.28
0.15	-0.07	-57	23487068	0.28
0.16	-0.07	-32	23513404	0.28
0.17	-0.08	-12	23539780	0.28
0.17	-0.08	-13	23566112	0.29
0.18	-0.09	-18	23592456	0.28
0.18	-0.1	-37	23618792	0.29
0.19	-0.1	-58	23645132	0.29
0.19	-0.11	-53	23671476	0.28
0.2	-0.11	-35	23697840	0.29
0.2	-0.12	-54	23724204	0.29
0.21	-0.12	-81	23750508	0.29
0.22	-0.13	-79	23776872	0.29
0.22	-0.13	-100	23803236	0.28
0.23	-0.14	-54	23829608	0.29
0.23	-0.14	-79	23855948	0.27
0.24	-0.15	-80	23882304	0.28
0.24	-0.15	-58	23908672	0.28
0.25	-0.16	-31	23935016	0.28
0.25	-0.16	-62	23961360	0.28
0.26	-0.16	-59	23987700	0.28
0.27	-0.17	-37	24014040	0.28
0.27	-0.17	-58	24040384	0.28
0.28	-0.18	-83	24066724	0.29
0.28	-0.18	-84	24093052	0.28
0.29	-0.19	-83	24119388	0.28
0.29	-0.19	-81	24145720	0.28
0.3	-0.2	-106	24172060	0.28
0.31	-0.2	-124	24198404	0.28
0.31	-0.21	-108	24224780	0.27
0.32	-0.21	-110	24251180	0.27
0.32	-0.22	-103	24277520	0.27
0.33	-0.22	-107	24303868	0.26
0.33	-0.22	-106	24330264	0.27
0.34	-0.23	-126	24356616	0.27
0.35	-0.23	-101	24382968	0.26
0.35	-0.24	-105	24409316	0.26
0.36	-0.24	-123	24435696	0.27
0.36	-0.24	-131	24462056	0.27
0.37	-0.25	-147	24488408	0.26
0.37	-0.25	-144	24514764	0.27
0.38	-0.26	-149	24541152	0.27
0.39	-0.26	-104	24567520	0.26
0.39	-0.26	-206	24593864	0.26
0.4	-0.27	-295	24620204	0.27
0.4	-0.27	-291	24646512	0.24
0.41	-0.27	-212	24672832	0.21
0.41	-0.28	-126	24699188	0.22
0.42	-0.28	-82	24725492	0.23
0.42	-0.28	-187	24751756	0.23
0.43	-0.29	-186	24778100	0.25
0.43	-0.29	-168	24804412	0.22
0.44	-0.29	-84	24830768	0.23
0.45	-0.29	-57	24857080	0.25
0.45	-0.3	-126	24883448	0.25
0.46	-0.3	-166	24909788	0.26
0.46	-0.3	-165	24936108	0.25
0.47	-0.3	-104	24962424	0.25
0.48	-0.31	-84	24988748	0.25
0.48	-0.31	-124	25015096	0.26
0.49	-0.31	-165	25041504	0.26
0.49	-0.32	-214	25067796	0.25
0.5	-0.32	-209	25094072	0.24
0.51	-0.32	-212	25120416	0.23
0.51	-0.32	-171	25146740	0.23
0.52	-0.32	-257	25173076	0.23
0.52	-0.33	-326	25199424	0.24
0.53	-0.33	-328	25225708	0.22
0.53	-0.33	-290	25252012	0.2
0.54	-0.33	-245	25278280	0.2
0.54	-0.33	-228	25304596	0.2
0.55	-0.33	-270	25330948	0.22
0.55	-0.34	-295	25357212	0.23
0.56	-0.34	-286	25383512	0.21
0.57	-0.34	-228	25409840	0.21
0.57	-0.34	-168	25436156	0.21
0.58	-0.34	-198	25462480	0.23
0.58	-0.34	-205	25488792	0.22
0.59	-0.34	-245	25515128	0.22
0.59	-0.34	-191	25541472	0.23
0.6	-0.35	-145	25567812	0.22
0.61	-0.35	-244	25594144	0.24
0.61	-0.35	-258	25620488	0.24
0.62	-0.35	-247	25646804	0.21
0.62	-0.35	-227	25673136	0.22
0.63	-0.35	-231	25699440	0.22
0.63	-0.35	-198	25725776	0.22
0.64	-0.35	-327	25752116	0.22
0.65	-0.35	-383	25778420	0.23
0.65	-0.35	-376	25804672	0.2
0.66	-0.35	-324	25830920	0.18
0.66	-0.35	-297	25857180	0.18
0.67	-0.35	-325	25883440	0.17
0.67	-0.35	-381	25909708	0.18
0.68	-0.35	-370	25935920	0.18
0.68	-0.35	-367	25962152	0.17
0.68	-0.35	-312	25988388	0.17
0.69	-0.35	-272	26014616	0.17
0.69	-0.35	-273	26040904	0.18
0.7	-0.35	-266	26067176	0.19
0.7	-0.35	-312	26093436	0.19
0.71	-0.35	-284	26119716	0.19
0.71	-0.35	-225	26146012	0.19
0.72	-0.34	-144	26172320	0.21
0.72	-0.34	-145	26198652	0.21
0.73	-0.34	-192	26224968	0.23
0.74	-0.34	-228	26251316	0.23
0.74	-0.34	-191	26277616	0.23
0.75	-0.34	-151	26303944	0.22
0.75	-0.34	-146	26330272	0.24
0.76	-0.34	-168	26356640	0.25
0.77	-0.33	-224	26382940	0.24
0.77	-0.33	-208	26409248	0.24
0.78	-0.33	-216	26435552	0.22
0.78	-0.33	-232	26461836	0.24
0.79	-0.33	-213	26488156	0.24
0.8	-0.33	-232	26514460	0.23
0.8	-0.32	-243	26540796	0.24
0.81	-0.32	-368	26567108	0.23
0.81	-0.32	-478	26593388	0.21
0.82	-0.32	-540	26619640	0.18
0.82	-0.32	-522	26645852	0.17
0.82	-0.32	-435	26672008	0.16
0.83	-0.31	-371	26698212	0.14
0.83	-0.31	-377	26724412	0.16
0.84	-0.31	-368	26750608	0.16
0.84	-0.31	-358	26776812	0.15
0.84	-0.31	-372	26803048	0.16
0.85	-0.31	-322	26829276	0.17
0.85	-0.3	-314	26855536	0.17
0.85	-0.3	-314	26881808	0.18
0.86	-0.3	-356	26908056	0.19
0.86	-0.3	-341	26934328	0.18
0.87	-0.29	-292	26960568	0.19
0.87	-0.29	-229	26986788	0.18
0.88	-0.29	-232	27013056	0.19
0.88	-0.28	-248	27039280	0.21
0.88	-0.28	-234	27065568	0.2
0.89	-0.28	-252	27091868	0.21
0.89	-0.27	-211	27118176	0.21
0.9	-0.27	-170	27144468	0.21
0.9	-0.27	-196	27170824	0.22
0.91	-0.26	-192	27197084	0.24
0.91	-0.26	-283	27223436	0.22
0.92	-0.26	-332	27249712	0.23
0.92	-0.25	-287	27276008	0.21
0.92	-0.25	-189	27302324	0.21
