X , Y , error , micros , speed
0.04 , 0.04 , 0 , 34203592 , 0.05
0.04 , 0.04 , 0 , 34228972 , 0.00
0.04 , 0.04 , 0 , 34254264 , 0.00
0.04 , 0.04 , 0 , 34279548 , 0.00
0.04 , 0.04 , 0 , 34304840 , 0.00
0.04 , 0.04 , 0 , 34330116 , 0.00
0.04 , 0.04 , 0 , 34355408 , 0.00
0.00 , 0.00 , 0 , 35377848 , 0.06
0.00 , 0.00 , 0 , 35401884 , 0.00
0.00 , 0.00 , 0 , 35426372 , 1.33
0.00 , 0.00 , 0 , 35450900 , 0.09
0.00 , 0.00 , 0 , 35475308 , 0.13
0.00 , 0.00 , 0 , 35499828 , 0.53
0.00 , 0.00 , 0 , 35524244 , 0.40
0.00 , 0.00 , 0 , 35548668 , 0.57
0.00 , 0.00 , 0 , 35573060 , 0.09
0.00 , 0.00 , 0 , 35597432 , 0.18
0.00 , 0.00 , 0 , 35621792 , 0.09
0.00 , 0.00 , 0 , 35646156 , 0.26
0.00 , 0.00 , 0 , 35670504 , 0.18
0.00 , 0.00 , 0 , 35694828 , 0.27
0.01 , 0.00 , 0 , 35719128 , 0.27
0.01 , 0.00 , 0 , 35743464 , 0.31
0.01 , 0.00 , 0 , 35767820 , 0.36
0.01 , 0.00 , 0 , 35792152 , 0.36
0.01 , 0.00 , 0 , 35816488 , 0.40
0.01 , 0.00 , 0 , 35840812 , 0.41
0.01 , 0.00 , 0 , 35865140 , 0.41
0.01 , 0.00 , 0 , 35889460 , 0.36
0.01 , 0.00 , 0 , 35913792 , 0.41
0.01 , 0.00 , 0 , 35938136 , 0.41
0.01 , 0.00 , 0 , 35962456 , 0.36
0.01 , 0.00 , 0 , 35986776 , 0.36
0.01 , 0.00 , 0 , 36011136 , 0.36
0.01 , 0.00 , 0 , 36035480 , 0.40
0.01 , 0.01 , 0 , 36059820 , 0.40
0.01 , 0.01 , 0 , 36084180 , 0.36
0.02 , 0.01 , 0 , 36108580 , 0.48
0.02 , 0.01 , 0 , 36132932 , 0.36
0.02 , 0.01 , 0 , 36157264 , 0.36
0.02 , 0.01 , 0 , 36181680 , 0.48
0.02 , 0.01 , 0 , 36206044 , 0.45
0.02 , 0.01 , 0 , 36230388 , 0.36
0.02 , 0.01 , 0 , 36254736 , 0.50
0.02 , 0.01 , 0 , 36279120 , 0.49
0.02 , 0.01 , 0 , 36303520 , 0.57
0.02 , 0.01 , 0 , 36327948 , 0.66
0.02 , 0.01 , 0 , 36352356 , 0.66
0.02 , 0.01 , 0 , 36376776 , 0.61
0.02 , 0.01 , 0 , 36401204 , 0.70
0.03 , 0.01 , 0 , 36425620 , 0.75
0.03 , 0.01 , 0 , 36450064 , 0.70
0.03 , 0.02 , 0 , 36474472 , 0.83
0.03 , 0.02 , 0 , 36498912 , 0.79
0.03 , 0.02 , 0 , 36523356 , 0.74
0.03 , 0.02 , 0 , 36547816 , 0.83
0.03 , 0.02 , 0 , 36572272 , 0.88
0.03 , 0.02 , 0 , 36596692 , 0.88
0.03 , 0.02 , 0 , 36621132 , 0.92
0.04 , 0.02 , 0 , 36645556 , 0.88
0.04 , 0.02 , 0 , 36670040 , 1.00
0.04 , 0.03 , 0 , 36694524 , 0.96
0.04 , 0.03 , 0 , 36718948 , 1.06
0.04 , 0.03 , 0 , 36743404 , 1.00
0.04 , 0.03 , 0 , 36767852 , 1.05
0.04 , 0.03 , 0 , 36792312 , 1.09
0.05 , 0.03 , 0 , 36816776 , 1.14
0.05 , 0.03 , 0 , 36841268 , 1.13
0.05 , 0.04 , 0 , 36865744 , 1.13
0.05 , 0.04 , 0 , 36890228 , 1.22
0.05 , 0.04 , 0 , 36914716 , 1.17
0.05 , 0.04 , 0 , 36939040 , 1.39
0.06 , 0.04 , 0 , 36963336 , 1.30
0.06 , 0.04 , 0 , 36987656 , 1.44
0.06 , 0.05 , 0 , 37011988 , 1.48
0.06 , 0.05 , 0 , 37036484 , 1.22
0.06 , 0.05 , 0 , 37061020 , 1.39
0.06 , 0.05 , 0 , 37085524 , 1.43
0.07 , 0.05 , 0 , 37110012 , 1.22
0.07 , 0.05 , 0 , 37134528 , 1.43
0.07 , 0.06 , 0 , 37159012 , 1.32
0.07 , 0.06 , 0 , 37183576 , 1.38
0.07 , 0.06 , 0 , 37208000 , 1.46
0.07 , 0.06 , 0 , 37232444 , 1.40
0.08 , 0.06 , 0 , 37256936 , 1.34
0.08 , 0.07 , 0 , 37281392 , 1.49
0.08 , 0.07 , 0 , 37305828 , 1.35
0.08 , 0.07 , 0 , 37330256 , 1.44
0.08 , 0.07 , 0 , 37354696 , 1.36
0.09 , 0.07 , 0 , 37379108 , 1.51
0.09 , 0.07 , 0 , 37403520 , 1.32
0.09 , 0.07 , 0 , 37427960 , 1.50
0.09 , 0.08 , 0 , 37452376 , 1.46
0.10 , 0.08 , 0 , 37476816 , 1.40
0.10 , 0.08 , 0 , 37501280 , 1.58
0.10 , 0.08 , 0 , 37525724 , 1.46
0.10 , 0.08 , 0 , 37550196 , 1.59
0.10 , 0.08 , 0 , 37574644 , 1.41
0.11 , 0.08 , 0 , 37599084 , 1.65
0.11 , 0.08 , 0 , 37623508 , 1.47
0.11 , 0.09 , 0 , 37647964 , 1.51
0.11 , 0.09 , 0 , 37672404 , 1.61
0.12 , 0.09 , 0 , 37696844 , 1.41
0.12 , 0.09 , 0 , 37721304 , 1.59
0.12 , 0.09 , 0 , 37745736 , 1.36
0.12 , 0.09 , 0 , 37770196 , 1.69
0.13 , 0.09 , 0 , 37794612 , 1.42
0.13 , 0.09 , 0 , 37819068 , 1.55
0.13 , 0.09 , 0 , 37843500 , 1.46
0.13 , 0.09 , 0 , 37867940 , 1.56
0.14 , 0.10 , 0 , 37892368 , 1.41
0.14 , 0.10 , 0 , 37916820 , 1.45
0.14 , 0.10 , 0 , 37941268 , 1.60
0.14 , 0.10 , 0 , 37965680 , 1.37
0.15 , 0.10 , 0 , 37990160 , 1.58
0.15 , 0.10 , 0 , 38014596 , 1.46
0.15 , 0.10 , 0 , 38039084 , 1.36
0.16 , 0.10 , 0 , 38063540 , 1.59
0.16 , 0.10 , 0 , 38087984 , 1.51
0.16 , 0.10 , 0 , 38112416 , 1.37
0.16 , 0.10 , 0 , 38136884 , 1.63
0.17 , 0.10 , 0 , 38161344 , 1.59
0.17 , 0.10 , 0 , 38185772 , 1.42
0.17 , 0.10 , 0 , 38210244 , 1.58
0.17 , 0.10 , 0 , 38234716 , 1.67
0.18 , 0.11 , 0 , 38259172 , 1.51
0.18 , 0.11 , 0 , 38283648 , 1.59
0.18 , 0.11 , 0 , 38308120 , 1.65
0.19 , 0.11 , 0 , 38332572 , 1.51
0.19 , 0.11 , 0 , 38357040 , 1.60
0.19 , 0.11 , 0 , 38381500 , 1.69
0.19 , 0.11 , 0 , 38405960 , 1.45
0.20 , 0.11 , 0 , 38430448 , 1.62
0.20 , 0.11 , 0 , 38454924 , 1.63
0.20 , 0.11 , 0 , 38479396 , 1.49
0.20 , 0.11 , 0 , 38503880 , 1.58
0.21 , 0.11 , 0 , 38528372 , 1.66
0.21 , 0.11 , 0 , 38552832 , 1.54
0.21 , 0.11 , 0 , 38577316 , 1.58
0.22 , 0.11 , 0 , 38601796 , 1.62
0.22 , 0.11 , 0 , 38626272 , 1.53
0.22 , 0.11 , 0 , 38650748 , 1.63
0.22 , 0.11 , 0 , 38675228 , 1.50
0.23 , 0.11 , 0 , 38699716 , 1.62
0.23 , 0.11 , 0 , 38724208 , 1.62
0.23 , 0.11 , 0 , 38748700 , 1.57
0.24 , 0.11 , 0 , 38773188 , 1.67
0.24 , 0.11 , 0 , 38797660 , 1.63
0.24 , 0.11 , 0 , 38822116 , 1.55
0.25 , 0.11 , 0 , 38846592 , 1.58
0.25 , 0.11 , 0 , 38871076 , 1.53
0.25 , 0.11 , 0 , 38895560 , 1.67
0.25 , 0.11 , 0 , 38919988 , 1.79
0.26 , 0.11 , 0 , 38944392 , 1.60
0.26 , 0.12 , 0 , 38968876 , 1.13
0.26 , 0.12 , 0 , 38993360 , 1.71
0.26 , 0.12 , 0 , 39017828 , 1.80
0.27 , 0.12 , 0 , 39042272 , 1.99
0.27 , 0.12 , 0 , 39066712 , 2.27
0.27 , 0.12 , 0 , 39091100 , 1.68
0.28 , 0.12 , 0 , 39115560 , 1.99
0.28 , 0.12 , 0 , 39139952 , 1.93
0.28 , 0.12 , 0 , 39164372 , 1.79
0.28 , 0.13 , 0 , 39188748 , 1.88
0.29 , 0.13 , 0 , 39213132 , 1.73
0.29 , 0.13 , 0 , 39237540 , 1.64
0.29 , 0.13 , 0 , 39261952 , 1.75
0.29 , 0.14 , 0 , 39286380 , 1.75
0.30 , 0.14 , 0 , 39310772 , 1.61
0.30 , 0.14 , 0 , 39335188 , 1.71
0.30 , 0.14 , 0 , 39359592 , 1.80
0.30 , 0.15 , 0 , 39384004 , 1.79
0.30 , 0.15 , 0 , 39408412 , 1.75
0.30 , 0.15 , 0 , 39432816 , 1.75
0.30 , 0.15 , 0 , 39457208 , 1.81
0.31 , 0.16 , 0 , 39481628 , 1.75
0.31 , 0.16 , 0 , 39506028 , 1.70
0.31 , 0.16 , 0 , 39530452 , 2.00
0.31 , 0.16 , 0 , 39554848 , 1.71
0.31 , 0.17 , 0 , 39579272 , 1.86
0.31 , 0.17 , 0 , 39603676 , 1.70
0.31 , 0.17 , 0 , 39628088 , 1.95
0.31 , 0.18 , 0 , 39652468 , 1.66
0.31 , 0.18 , 0 , 39676884 , 1.90
0.32 , 0.18 , 0 , 39701268 , 1.72
0.32 , 0.19 , 0 , 39725716 , 1.88
0.32 , 0.19 , 0 , 39750108 , 1.76
0.32 , 0.19 , 0 , 39774512 , 1.81
0.32 , 0.19 , 0 , 39798908 , 1.81
0.32 , 0.20 , 0 , 39823304 , 1.81
0.32 , 0.20 , 0 , 39847680 , 1.68
0.32 , 0.20 , 0 , 39872080 , 1.81
0.32 , 0.21 , 0 , 39896492 , 1.74
0.32 , 0.21 , 0 , 39920920 , 1.83
0.32 , 0.21 , 0 , 39945328 , 1.80
0.32 , 0.22 , 0 , 39969732 , 1.81
0.32 , 0.22 , 0 , 39994148 , 1.80
0.32 , 0.22 , 0 , 40018560 , 1.69
0.32 , 0.22 , 0 , 40042976 , 1.94
0.32 , 0.23 , 0 , 40067400 , 1.75
0.32 , 0.23 , 0 , 40091816 , 1.83
0.32 , 0.23 , 0 , 40116240 , 1.84
0.32 , 0.24 , 0 , 40140664 , 1.73
0.32 , 0.24 , 0 , 40165104 , 1.82
0.32 , 0.24 , 0 , 40189524 , 1.83
0.32 , 0.25 , 0 , 40213940 , 1.84
0.32 , 0.25 , 0 , 40238372 , 1.79
0.32 , 0.25 , 0 , 40262796 , 1.84
0.32 , 0.26 , 0 , 40287228 , 1.84
0.32 , 0.26 , 0 , 40311648 , 1.78
0.32 , 0.26 , 0 , 40336088 , 1.88
0.32 , 0.27 , 0 , 40360516 , 1.73
0.32 , 0.27 , 0 , 40384828 , 1.92
0.32 , 0.27 , 0 , 40409316 , 1.88
0.32 , 0.28 , 0 , 40433768 , 1.81
0.32 , 0.28 , 0 , 40458220 , 1.82
0.32 , 0.28 , 0 , 40482688 , 1.81
0.32 , 0.28 , 0 , 40507100 , 1.80
0.32 , 0.29 , 0 , 40531544 , 1.91
0.32 , 0.29 , 0 , 40555980 , 1.72
0.32 , 0.29 , 0 , 40580408 , 1.77
0.32 , 0.30 , 0 , 40604880 , 1.90
0.32 , 0.30 , 0 , 40629320 , 1.87
0.32 , 0.30 , 0 , 40653752 , 1.77
0.32 , 0.31 , 0 , 40678176 , 1.89
0.32 , 0.31 , 0 , 40702668 , 1.89
0.32 , 0.31 , 0 , 40727096 , 1.73
0.32 , 0.32 , 0 , 40751548 , 1.82
