X , Y , error , micros , speed
0.04 , 0.04 , 0 , 14048536 , 0.05
0.04 , 0.04 , 0 , 14073888 , 0.00
0.04 , 0.04 , 0 , 14099180 , 0.00
0.04 , 0.04 , 0 , 14124472 , 0.00
0.04 , 0.04 , 0 , 14149768 , 0.00
0.04 , 0.04 , 0 , 14175056 , 0.00
0.04 , 0.04 , 0 , 14200356 , 0.00
0.04 , 0.04 , 0 , 14225652 , 0.00
0.04 , 0.04 , 0 , 14250948 , 0.00
0.04 , 0.04 , 0 , 14276244 , 0.00
0.04 , 0.04 , 0 , 14301520 , 0.00
0.04 , 0.04 , 0 , 14326840 , 0.00
0.00 , 0.00 , 0 , 15349312 , 0.06
0.00 , 0.00 , 0 , 15373352 , 0.00
0.00 , 0.00 , 0 , 15397836 , 1.29
0.00 , 0.00 , 0 , 15422332 , 0.22
0.00 , 0.00 , 0 , 15446788 , 0.22
0.00 , 0.00 , 0 , 15471292 , 0.66
0.00 , 0.00 , 0 , 15495716 , 0.22
0.00 , 0.00 , 0 , 15520136 , 0.48
0.00 , 0.00 , 0 , 15544532 , 0.31
0.00 , 0.00 , 0 , 15568892 , 0.00
0.00 , 0.00 , 0 , 15593192 , 0.35
0.00 , 0.00 , 0 , 15617584 , 0.35
0.01 , 0.00 , 0 , 15641956 , 0.04
0.01 , 0.00 , 0 , 15666372 , 0.35
0.01 , 0.00 , 0 , 15690708 , 0.13
0.01 , 0.00 , 0 , 15715020 , 0.27
0.01 , 0.00 , 0 , 15739364 , 0.36
0.01 , 0.00 , 0 , 15763684 , 0.32
0.01 , 0.00 , 0 , 15788008 , 0.41
0.01 , 0.00 , 0 , 15812340 , 0.36
0.01 , 0.00 , 0 , 15836672 , 0.32
0.01 , 0.00 , 0 , 15861000 , 0.36
0.01 , 0.00 , 0 , 15885332 , 0.32
0.01 , 0.00 , 0 , 15909664 , 0.31
0.01 , 0.00 , 0 , 15934008 , 0.40
0.01 , 0.00 , 0 , 15958324 , 0.27
0.01 , 0.00 , 0 , 15982664 , 0.36
0.01 , 0.00 , 0 , 16007004 , 0.36
0.01 , 0.01 , 0 , 16031360 , 0.35
0.01 , 0.01 , 0 , 16055724 , 0.31
0.01 , 0.01 , 0 , 16080068 , 0.40
0.02 , 0.01 , 0 , 16104384 , 0.36
0.02 , 0.01 , 0 , 16128736 , 0.31
0.02 , 0.01 , 0 , 16153152 , 0.48
0.02 , 0.01 , 0 , 16177492 , 0.36
0.02 , 0.01 , 0 , 16201848 , 0.49
